name,year,cost
c_i_manza,2016.0,45.32976302
c_i_manza,2017.0,61.97651007
c_i_manza,2018.0,65.81702538
c_i_manza,2019.0,69.25523639
c_i_manza,2020.0,71.32353718
c_i_manza,2021.0,72.90830395
c_i_manza,2022.0,74.41818496
c_i_manza,2023.0,75.97340717
c_i_manza,2024.0,77.52288659
c_i_manza,2025.0,78.74122178
c_i_manza,2026.0,80.32380533
c_i_manza,2027.0,81.78804456
c_i_manza,2028.0,83.32906798
c_i_manza,2029.0,84.87358771
c_i_manza,2030.0,86.37924469
c_n_alta,2016.0,34.37305835
c_n_alta,2017.0,48.31474281
c_n_alta,2018.0,51.5137815
c_n_alta,2019.0,54.38499788
c_n_alta,2020.0,56.10141709
c_n_alta,2021.0,57.39437618
c_n_alta,2022.0,58.60997854
c_n_alta,2023.0,59.83629841
c_n_alta,2024.0,60.91597614
c_n_alta,2025.0,61.81927767
c_n_alta,2026.0,63.14182669
c_n_alta,2027.0,64.36701277
c_n_alta,2028.0,65.6800652
c_n_alta,2029.0,67.01495481
c_n_alta,2030.0,68.31431849
c_n_chih,2016.0,37.21760555
c_n_chih,2017.0,51.2372069
c_n_chih,2018.0,54.45422153
c_n_chih,2019.0,57.34153082
c_n_chih,2020.0,59.06763094
c_n_chih,2021.0,60.3680077
c_n_chih,2022.0,61.59067722
c_n_chih,2023.0,62.82427648
c_n_chih,2024.0,63.91120671
c_n_chih,2025.0,64.82021079
c_n_chih,2026.0,66.15016726
c_n_chih,2027.0,67.38220687
c_n_chih,2028.0,68.70247223
c_n_chih,2029.0,70.04459113
c_n_chih,2030.0,71.35100219
c_n_coah,2016.0,33.09638853
c_n_coah,2017.0,47.03807299
c_n_coah,2018.0,50.23711168
c_n_coah,2019.0,53.10832806
c_n_coah,2020.0,54.82474727
c_n_coah,2021.0,56.11770636
c_n_coah,2022.0,57.33330872
c_n_coah,2023.0,58.55962859
c_n_coah,2024.0,59.63930632
c_n_coah,2025.0,60.54260786
c_n_coah,2026.0,61.86515687
c_n_coah,2027.0,63.09034295
c_n_coah,2028.0,64.40339538
c_n_coah,2029.0,65.73828499
c_n_coah,2030.0,67.03764867
c_n_gpal,2016.0,34.85680942
c_n_gpal,2017.0,48.87641076
c_n_gpal,2018.0,52.0934254
c_n_gpal,2019.0,54.98073469
c_n_gpal,2020.0,56.70683481
c_n_gpal,2021.0,58.00721157
c_n_gpal,2022.0,59.22988109
c_n_gpal,2023.0,60.46348034
c_n_gpal,2024.0,61.55041057
c_n_gpal,2025.0,62.45941466
c_n_gpal,2026.0,63.78937112
c_n_gpal,2027.0,65.02141073
c_n_gpal,2028.0,66.34167609
c_n_gpal,2029.0,67.68379499
c_n_gpal,2030.0,68.99020606
c_n_guay,2016.0,36.37886019
c_n_guay,2017.0,50.32054464
c_n_guay,2018.0,53.51958333
c_n_guay,2019.0,56.39079971
