name,year,cost,,fuel_code,descripción,units
c_i_manza,2016,45.32976302,,c_i_manza,fuel_oil,usd$/barril
c_i_manza,2017,61.97651007,,c_n_alta,fuel_oil,usd$/barril
c_i_manza,2018,65.81702538,,c_n_chih,fuel_oil,usd$/barril
c_i_manza,2019,69.25523639,,c_n_coah,fuel_oil,usd$/barril
c_i_manza,2020,71.32353718,,c_n_gpal,fuel_oil,usd$/barril
c_i_manza,2021,72.90830395,,c_n_guay,fuel_oil,usd$/barril
c_i_manza,2022,74.41818496,,c_n_lerm,fuel_oil,usd$/barril
c_i_manza,2023,75.97340717,,c_n_maza,fuel_oil,usd$/barril
c_i_manza,2024,77.52288659,,c_n_meri,fuel_oil,usd$/barril
c_i_manza,2025,78.74122178,,c_n_petacal,fuel_oil,usd$/barril
c_i_manza,2026,80.32380533,,c_n_plibe,fuel_oil,usd$/barril
c_i_manza,2027,81.78804456,,c_n_poza,fuel_oil,usd$/barril
c_i_manza,2028,83.32906798,,c_n_rbra,fuel_oil,usd$/barril
c_i_manza,2029,84.87358771,,c_n_sala,fuel_oil,usd$/barril
c_i_manza,2030,86.37924469,,c_n_sama,fuel_oil,usd$/barril
c_n_alta,2016,34.37305835,,c_n_topo,fuel_oil,usd$/barril
c_n_alta,2017,48.31474281,,c_n_tula,fuel_oil,usd$/barril
c_n_alta,2018,51.5137815,,c_n_tuxp,fuel_oil,usd$/barril
c_n_alta,2019,54.38499788,,c_n_vall,fuel_oil,usd$/barril
c_n_alta,2020,56.10141709,,c_n_vizc,fuel_oil,usd$/barril
c_n_alta,2021,57.39437618,,c_n_vrey,fuel_oil,usd$/barril
c_n_alta,2022,58.60997854,,ca_i_car2,coal,usd$/tm
c_n_alta,2023,59.83629841,,ca_i_peta,coal,usd$/tm
c_n_alta,2024,60.91597614,,ca_rioes,coal,usd$/tm
c_n_alta,2025,61.81927767,,d_bcn,diesel,usd$/b
c_n_alta,2026,63.14182669,,d_naciona,diesel,usd$/b
c_n_alta,2027,64.36701277,,d_penins,diesel,usd$/b
c_n_alta,2028,65.6800652,,g_2boca,natural_gas,usd$/mmbtu
c_n_alta,2029,67.01495481,,g_ahnrr,natural_gas,usd$/mmbtu
c_n_alta,2030,68.31431849,,g_central,natural_gas,usd$/mmbtu
c_n_chih,2016,37.21760555,,g_i_jovibn,natural_gas,usd$/mmbtu
c_n_chih,2017,51.2372069,,g_lerma,natural_gas,usd$/mmbtu
c_n_chih,2018,54.45422153,,g_nizuc,natural_gas,usd$/mmbtu
c_n_chih,2019,57.34153082,,g_penin,natural_gas,usd$/mmbtu
c_n_chih,2020,59.06763094,,g_petsal,natural_gas,usd$/mmbtu
c_n_chih,2021,60.3680077,,g_sauzqro,natural_gas,usd$/mmbtu
c_n_chih,2022,61.59067722,,g_slorp,natural_gas,usd$/mmbtu
c_n_chih,2023,62.82427648,,g_tuxpoz,natural_gas,usd$/mmbtu
c_n_chih,2024,63.91120671,,gn_altam,natural_gas,usd$/mmbtu
c_n_chih,2025,64.82021079,,gn_lic_mz,natural_gas,usd$/mmbtu
c_n_chih,2026,66.15016726,,gn_tamazu,natural_gas,usd$/mmbtu
c_n_chih,2027,67.38220687,,gn_tuxp,natural_gas,usd$/mmbtu
c_n_chih,2028,68.70247223,,nuc,uranium,usd$/gj
c_n_chih,2029,70.04459113,,zzon_noro,natural_gas,usd$/mmbtu
c_n_chih,2030,71.35100219,,zzon_nort,natural_gas,usd$/mmbtu
c_n_coah,2016,33.09638853,,,,
c_n_coah,2017,47.03807299,,,,
c_n_coah,2018,50.23711168,,,,
c_n_coah,2019,53.10832806,,,,
c_n_coah,2020,54.82474727,,,,
c_n_coah,2021,56.11770636,,,,
c_n_coah,2022,57.33330872,,,,
c_n_coah,2023,58.55962859,,,,
c_n_coah,2024,59.63930632,,,,
c_n_coah,2025,60.54260786,,,,
c_n_coah,2026,61.86515687,,,,
c_n_coah,2027,63.09034295,,,,
c_n_coah,2028,64.40339538,,,,
c_n_coah,2029,65.73828499,,,,
c_n_coah,2030,67.03764867,,,,
c_n_gpal,2016,34.85680942,,,,
c_n_gpal,2017,48.87641076,,,,
c_n_gpal,2018,52.0934254,,,,
c_n_gpal,2019,54.98073469,,,,
c_n_gpal,2020,56.70683481,,,,
c_n_gpal,2021,58.00721157,,,,
c_n_gpal,2022,59.22988109,,,,
c_n_gpal,2023,60.46348034,,,,
c_n_gpal,2024,61.55041057,,,,
c_n_gpal,2025,62.45941466,,,,
c_n_gpal,2026,63.78937112,,,,
c_n_gpal,2027,65.02141073,,,,
c_n_gpal,2028,66.34167609,,,,
c_n_gpal,2029,67.68379499,,,,
c_n_gpal,2030,68.99020606,,,,
c_n_guay,2016,36.37886019,,,,
c_n_guay,2017,50.32054464,,,,
c_n_guay,2018,53.51958333,,,,
c_n_guay,2019,56.39079971,,,,
c_n_guay,2020,58.10721893,,,,
c_n_guay,2021,59.40017801,,,,
c_n_guay,2022,60.61578037,,,,
c_n_guay,2023,61.84210024,,,,
c_n_guay,2024,62.92177797,,,,
c_n_guay,2025,63.82507951,,,,
c_n_guay,2026,65.14762852,,,,
c_n_guay,2027,66.3728146,,,,
c_n_guay,2028,67.68586703,,,,
c_n_guay,2029,69.02075664,,,,
c_n_guay,2030,70.32012032,,,,
c_n_lerm,2016,35.49231023,,,,
c_n_lerm,2017,49.51191157,,,,
c_n_lerm,2018,52.72892621,,,,
c_n_lerm,2019,55.6162355,,,,
c_n_lerm,2020,57.34233562,,,,
c_n_lerm,2021,58.64271238,,,,
c_n_lerm,2022,59.8653819,,,,
