,ID,LAT,LON,ADDRESS
0,1,15.0,-92.6667,Chiapas
1,2,15.5,-92.6667,Chiapas
2,3,16.0,-97.3333,Oaxaca
3,4,16.0,-96.6667,Oaxaca
4,5,16.0,-96.0,Oaxaca
5,6,16.0,-93.3333,Chiapas
6,7,16.0,-92.6667,Chiapas
7,8,16.0,-92.0,Chiapas
8,9,16.5,-98.6667,Guerrero
9,10,16.5,-98.0,Oaxaca
10,11,16.5,-97.3333,Oaxaca
11,12,16.5,-96.6667,Oaxaca
12,13,16.5,-96.0,Oaxaca
13,14,16.5,-95.3333,Oaxaca
14,15,16.5,-94.6667,Oaxaca
15,16,16.5,-94.0,Chiapas
16,17,16.5,-93.3333,Chiapas
17,18,16.5,-92.6667,Chiapas
18,19,16.5,-92.0,Chiapas
19,20,16.5,-91.3333,Chiapas
20,21,16.5,-90.6667,Chiapas
21,22,17.0,-100.0,Gro.
22,23,17.0,-99.3333,Guerrero
23,24,17.0,-98.6667,Guerrero
24,25,17.0,-98.0,Oaxaca
25,26,17.0,-97.3333,Oax.
26,27,17.0,-96.6667,Oaxaca
27,28,17.0,-96.0,Oaxaca
28,29,17.0,-95.3333,Oaxaca
29,30,17.0,-94.6667,Oaxaca
30,31,17.0,-94.0,Chiapas
31,32,17.0,-93.3333,Chiapas
32,33,17.0,-92.6667,Chiapas
33,34,17.0,-92.0,Chiapas
34,35,17.0,-91.3333,Chiapas
35,36,17.5,-101.3333,Guerrero
36,37,17.5,-100.6667,Guerrero
37,38,17.5,-100.0,Guerrero
38,39,17.5,-99.3333,Guerrero
39,40,17.5,-98.6667,Guerrero
40,41,17.5,-98.0,Oaxaca
41,42,17.5,-97.3333,Oaxaca
42,43,17.5,-96.6667,Oaxaca
43,44,17.5,-96.0,Oaxaca
44,45,17.5,-95.3333,Oaxaca
45,46,17.5,-94.6667,Veracruz
46,47,17.5,-94.0,Veracruz
47,48,17.5,-93.3333,Chiapas
48,49,17.5,-92.6667,Tabasco
49,50,17.5,-92.0,Chis.
50,51,17.5,-91.3333,Tabasco
51,52,18.0,-102.0,Guerrero
52,53,18.0,-101.3333,Guerrero
53,54,18.0,-100.6667,Guerrero
54,55,18.0,-100.0,Guerrero
55,56,18.0,-99.3333,Guerrero
56,57,18.0,-98.6667,Puebla
57,58,18.0,-98.0,Puebla
58,59,18.0,-97.3333,Oax.
59,60,18.0,-96.6667,Oaxaca
60,61,18.0,-96.0,Oaxaca
61,62,18.0,-95.3333,Veracruz
62,63,18.0,-94.6667,Ver.
63,64,18.0,-94.0,Tabasco
64,65,18.0,-93.3333,Tabasco
65,66,18.0,-92.6667,Tabasco
66,67,18.0,-92.0,Tabasco
67,68,18.0,-91.3333,Tabasco
68,69,18.0,-90.6667,Campeche
69,70,18.0,-90.0,Campeche
70,71,18.0,-89.3333,Campeche
71,72,18.5,-103.3333,Michoacán
72,73,18.5,-102.6667,Michoacán
73,74,18.5,-102.0,Michoacán
74,75,18.5,-101.3333,Guerrero
75,76,18.5,-100.6667,Guerrero
76,77,18.5,-100.0,Guerrero
77,78,18.5,-99.3333,Morelos
78,79,18.5,-98.6667,Puebla
79,80,18.5,-98.0,Puebla
80,81,18.5,-97.3333,Puebla
81,82,18.5,-96.6667,Oax.
82,83,18.5,-96.0,Veracruz
83,84,18.5,-95.3333,Veracruz
84,85,18.5,-92.6667,Tabasco
85,86,18.5,-92.0,Campeche
86,87,18.5,-91.3333,Campeche
87,88,18.5,-90.6667,Campeche
88,89,18.5,-90.0,Camp.
89,90,18.5,-89.3333,Camp.
90,91,18.5,-88.6667,Quintana Roo
91,92,18.5,-88.0,Quintana Roo
92,93,19.0,-104.0,Colima
93,94,19.0,-103.3333,Jalisco
94,95,19.0,-102.6667,Michoacán
95,96,19.0,-102.0,Michoacán
96,97,19.0,-101.3333,Michoacán
97,98,19.0,-100.6667,Michoacán
98,99,19.0,-100.0,Estado de México
99,100,19.0,-99.3333,Estado de México
100,101,19.0,-98.6667,Méx.
101,102,19.0,-98.0,Puebla
102,103,19.0,-97.3333,Puebla
103,104,19.0,-96.6667,Veracruz
104,105,19.0,-96.0,Veracruz
105,106,19.0,-90.6667,Campeche
106,107,19.0,-90.0,Campeche
107,108,19.0,-89.3333,Camp.
108,109,19.0,-88.6667,Quintana Roo
109,110,19.0,-88.0,Quintana Roo
110,111,19.5,-104.6667,Jalisco
111,112,19.5,-104.0,Jalisco
112,113,19.5,-103.3333,Jalisco
113,114,19.5,-102.6667,Michoacán
114,115,19.5,-102.0,Michoacán
115,116,19.5,-101.3333,Mich.
116,117,19.5,-100.6667,Michoacán
117,118,19.5,-100.0,Estado de México
118,119,19.5,-99.3333,Méx.
119,120,19.5,-98.6667,Estado de México
120,121,19.5,-98.0,Tlaxcala
121,122,19.5,-97.3333,Veracruz
122,123,19.5,-96.6667,Veracruz
123,124,19.5,-90.6667,Campeche
124,125,19.5,-90.0,Campeche
125,126,19.5,-89.3333,Campeche
126,127,19.5,-88.6667,Quintana Roo
127,128,19.5,-88.0,Quintana Roo
128,129,20.0,-105.3333,Jalisco
129,130,20.0,-104.6667,Jalisco
130,131,20.0,-104.0,Jal.
131,132,20.0,-103.3333,Jalisco
132,133,20.0,-102.6667,Michoacán
133,134,20.0,-102.0,Michoacán
134,135,20.0,-101.3333,Mich.
