,urban towns,status
San Andres Solaga,,
San Andres Teotilalpam,,
San Andres Tepetlapa,,
San Andres Yaa,,
San Andres Zabache,,
San Andres Zautla,,
San Antonino Castillo Velasco,,
San Antonino el Alto,,
San Antonino Monte Verde,,
San Antonio Acutla,,
San Antonio de la Cal,,
San Antonio Huitepec,,
San Antonio Nanahuatipam,,
San Antonio Sinicahua,,
San Antonio Tepetlapa,,
San Baltazar Chichicapam,,
San Baltazar Loxicha,,
San Baltazar Yatzachi el Bajo,,
San Bartolo Coyotepec,,
San Bartolome Ayautla,,
San Bartolome Loxicha,,
San Bartolome Quialana,,
San Bartolome Yucuañe,,
San Bartolome Zoogocho,,
San Bartolo Soyaltepec,,
San Bartolo Yautepec,,
San Bernardo Mixtepec,,
San Blas Atempa,,
San Carlos Yautepec,,
San Cristobal Amatlan,,
San Cristobal Amoltepec,,
San Cristobal Lachirioag,,
San Cristobal Suchixtlahuaca,,
San Dionisio del Mar,,
San Dionisio Ocotepec,,
San Dionisio Ocotlan,,
San Esteban Atatlahuca,,
San Felipe Jalapa de Diaz,,
San Felipe Tejalapam,,
San Felipe Usila,,
San Francisco Cahuacua,,
San Francisco Cajonos,,
San Francisco Chapulapa,,
San Francisco Chindua,,
San Francisco del Mar,,
San Francisco Huehuetlan,,
San Francisco Ixhuatan,,
San Francisco Jaltepetongo,,
San Francisco Lachigolo,,
San Francisco Logueche,,
San Francisco Nuxaño,,
San Francisco Ozolotepec,,
San Francisco Sola,,
San Francisco Telixtlahuaca,,
San Francisco Teopan,,
San Francisco Tlapancingo,,
San Gabriel Mixtepec,,
San Ildefonso Amatlan,,
San Ildefonso Sola,,
San Ildefonso Villa Alta,,
San Jacinto Amilpas,,
San Jacinto Tlacotepec,,
San Jeronimo Coatlan,,
San Jeronimo Silacayoapilla,,
San Jeronimo Sosola,,
San Jeronimo Taviche,,
San Jeronimo Tecoatl,,
San Jorge Nuchita,,
San Jose Ayuquila,,
San Jose Chiltepec,,
San Jose del Peñasco,,
San Jose Estancia Grande,,
San Jose Independencia,,
San Jose Lachiguiri,,
San Jose Tenango,,
San Juan Achiutla,,
San Juan Atepec,,
animas Trujano,,
San Juan Bautista Atatlahuca,,
San Juan Bautista Coixtlahuaca,,
San Juan Bautista Cuicatlan,,
San Juan Bautista Guelache,,
San Juan Bautista Jayacatlan,,
San Juan Bautista Lo de Soto,,
San Juan Bautista Suchitepec,,
San Juan Bautista Tlacoatzintepec,,
San Juan Bautista Tlachichilco,,
San Juan Bautista Tuxtepec,,
San Juan Cacahuatepec,,
San Juan Cieneguilla,,
San Juan Coatzospam,,
San Juan Colorado,,
San Juan Comaltepec,,
San Juan Cotzocon,,
San Juan Chicomezuchil,,
San Juan Chilateca,,
San Juan del Estado,,
San Juan del Rio,,
San Juan Diuxi,,
San Juan Evangelista Analco,,
San Juan Guelavia,,
San Juan Guichicovi,,
San Juan Ihualtepec,,
San Juan Juquila Mixes,,
San Juan Juquila Vijanos,,
San Juan Lachao,,
San Juan Lachigalla,,
San Juan Lajarcia,,
San Juan Lalana,,
San Juan de los Cues,,
San Juan Mazatlan,,
San Juan Mixtepec distrito 08 -,,
San Juan Mixtepec distrito 26 -,,
San Juan Ñumi,,
San Juan Ozolotepec,,
San Juan Petlapa,,
San Juan Quiahije,,
San Juan Quiotepec,,
San Juan Sayultepec,,
San Juan Tabaa,,
San Juan Tamazola,,
San Juan Teita,,
San Juan Teitipac,,
San Juan Tepeuxila,,
San Juan Teposcolula,,
San Juan Yaee,,
San Juan Yatzona,,
San Juan Yucuita,,
San Lorenzo,,
San Lorenzo Albarradas,,
San Lorenzo Cacaotepec,,
San Lorenzo Cuaunecuiltitla,,
San Lorenzo Texmelucan,,
San Lorenzo Victoria,,
San Lucas Camotlan,,
San Lucas Ojitlan,,
San Lucas Quiavini,,
San Lucas Zoquiapam,,
San Luis Amatlan,,
San Marcial Ozolotepec,,
San Marcos Arteaga,,
San Martin de los Cansecos,,
San Martin Huamelulpam,,
San Martin Itunyoso,,
San Martin Lachila,,
San Martin Peras,,
San Martin Tilcajete,,
San Martin Toxpalan,,
San Martin Zacatepec,,
San Mateo Cajonos,,
Capulalpam de Mendez,,
San Mateo del Mar,,
San Mateo Yoloxochitlan,,
San Mateo Etlatongo,,
San Mateo Nejapam,,
San Mateo Peñasco,,
San Mateo Piñas,,
San Mateo Rio Hondo,,
San Mateo Sindihui,,
San Mateo Tlapiltepec,,
San Melchor Betaza,,
San Miguel Achiutla,,
San Miguel Ahuehuetitlan,,
San Miguel Aloapam,,
San Miguel Amatitlan,,
San Miguel Amatlan,,
San Miguel Coatlan,,
San Miguel Chicahua,,
San Miguel Chimalapa,,
San Miguel del Puerto,,
San Miguel del Rio,,
San Miguel Ejutla,,
San Miguel el Grande,,
San Miguel Huautla,,
San Miguel Mixtepec,,
San Miguel Panixtlahuaca,,
San Miguel Peras,,
San Miguel Piedras,,
San Miguel Quetzaltepec,,
San Miguel Santa Flor,,
Villa Sola de Vega,,
San Miguel Soyaltepec,,
San Miguel Suchixtepec,,
Villa Talea de Castro,,
San Miguel Tecomatlan,,
San Miguel Tenango,,
San Miguel Tequixtepec,,
San Miguel Tilquiapam,,
San Miguel Tlacamama,,
San Miguel Tlacotepec,,
San Miguel Tulancingo,,
San Miguel Yotao,,
San Nicolas,,
San Nicolas Hidalgo,,
San Pablo Coatlan,,
San Pablo Cuatro Venados,,
San Pablo Etla,,
San Pablo Huitzo,,
San Pablo Huixtepec,,
San Pablo Macuiltianguis,,
San Pablo Tijaltepec,,
San Pablo Villa de Mitla,,
San Pablo Yaganiza,,
San Pedro Amuzgos,,
San Pedro Apostol,,
San Pedro Atoyac,,
San Pedro Cajonos,,
San Pedro Coxcaltepec Cantaros,,
San Pedro Comitancillo,,
San Pedro el Alto,,
San Pedro Huamelula,,
San Pedro Huilotepec,,
San Pedro Ixcatlan,,
San Pedro Ixtlahuaca,,
San Pedro Jaltepetongo,,
San Pedro Jicayan,,
San Pedro Jocotipac,,
San Pedro Juchatengo,,
San Pedro Martir,,
San Pedro Martir Quiechapa,,
San Pedro Martir Yucuxaco,,
San Pedro Mixtepec distrito 22 -,,
San Pedro Mixtepec distrito 26 -,,
San Pedro Molinos,,
San Pedro Nopala,,
San Pedro Ocopetatillo,,
San Pedro Ocotepec,,
San Pedro Pochutla,,
San Pedro Quiatoni,,
San Pedro Sochiapam,,
San Pedro Tapanatepec,,
San Pedro Taviche,,
San Pedro Teozacoalco,,
San Pedro Teutila,,
San Pedro Tidaa,,
San Pedro Topiltepec,,
San Pedro Totolapam,,
Villa de Tututepec de Melchor Ocampo,,
San Pedro Yaneri,,
San Pedro Yolox,,
San Pedro y San Pablo Ayutla,,
Villa de Etla,,
San Pedro y San Pablo Teposcolula,,
San Pedro y San Pablo Tequixtepec,,
San Pedro Yucunama,,
San Raymundo Jalpan,,
San Sebastian Abasolo,,
San Sebastian Coatlan,,
San Sebastian Ixcapa,,
San Sebastian Nicananduta,,
San Sebastian Rio Hondo,,
San Sebastian Tecomaxtlahuaca,,
San Sebastian Teitipac,,
San Sebastian Tutla,,
San Simon Almolongas,,
San Simon Zahuatlan,,
Santa Ana,,
Santa Ana Ateixtlahuaca,,
Santa Ana Cuauhtemoc,,
Santa Ana del Valle,,
Santa Ana Tavela,,
Santa Ana Tlapacoyan,,
Santa Ana Yareni,,
Santa Ana Zegache,,
Santa Catalina Quieri,,
Santa Catarina Cuixtla,,
Santa Catarina Ixtepeji,,
Santa Catarina Juquila,,
Santa Catarina Lachatao,,
Santa Catarina Loxicha,,
Santa Catarina Mechoacan,,
Santa Catarina Minas,,
Santa Catarina Quiane,,
Santa Catarina Tayata,,
Santa Catarina Ticua,,
Santa Catarina Yosonotu,,
Santa Catarina Zapoquila,,
Santa Cruz Acatepec,,
Santa Cruz Amilpas,,
Santa Cruz de Bravo,,
Santa Cruz Itundujia,,
Santa Cruz Mixtepec,,
Santa Cruz Nundaco,,
Santa Cruz Papalutla,,
Santa Cruz Tacache de Mina,,
Santa Cruz Tacahua,,
Santa Cruz Tayata,,
Santa Cruz Xitla,,
Santa Cruz Xoxocotlan,,
Santa Cruz Zenzontepec,,
Santa Gertrudis,,
Santa Ines del Monte,,
Santa Ines Yatzeche,,
Santa Lucia del Camino,,
Santa Lucia Miahuatlan,,
Santa Lucia Monteverde,,
Santa Lucia Ocotlan,,
Santa Maria Alotepec,,
Santa Maria Apazco,,
Santa Maria la Asuncion,,
Heroica Ciudad de Tlaxiaco,,
Ayoquezco de Aldama,,
Santa Maria Atzompa,,
Santa Maria Camotlan,,
Santa Maria Colotepec,,
Santa Maria Cortijo,,
Santa Maria Coyotepec,,
Santa Maria Chachoapam,,
Villa de Chilapa de Diaz,,
Santa Maria Chilchotla,,
Santa Maria Chimalapa,,
Santa Maria del Rosario,,
Santa Maria del Tule,,
Santa Maria Ecatepec,,
Santa Maria Guelace,,
Santa Maria Guienagati,,
Santa Maria Huatulco,,
Santa Maria Huazolotitlan,,
Santa Maria Ipalapa,,
Santa Maria Ixcatlan,,
Santa Maria Jacatepec,,
Santa Maria Jalapa del Marques,,
Santa Maria Jaltianguis,,
Santa Maria Lachixio,,
Santa Maria Mixtequilla,,
Santa Maria Nativitas,,
Santa Maria Nduayaco,,
Santa Maria Ozolotepec,,
Santa Maria Papalo,,
Santa Maria Peñoles,,
Santa Maria Petapa,,
Santa Maria Quiegolani,,
Santa Maria Sola,,
Santa Maria Tataltepec,,
Santa Maria Tecomavaca,,
Santa Maria Temaxcalapa,,
Santa Maria Temaxcaltepec,,
Santa Maria Teopoxco,,
Santa Maria Tepantlali,,
Santa Maria Texcatitlan,,
Santa Maria Tlahuitoltepec,,
Santa Maria Tlalixtac,,
Santa Maria Tonameca,,
Santa Maria Totolapilla,,
Santa Maria Xadani,,
Santa Maria Yalina,,
Santa Maria Yavesia,,
Santa Maria Yolotepec,,
Santa Maria Yosoyua,,
Santa Maria Yucuhiti,,
Santa Maria Zacatepec,,
Santa Maria Zaniza,,
Santa Maria Zoquitlan,,
Santiago Amoltepec,,
Santiago Apoala,,
Santiago Apostol,,
Santiago Astata,,
Santiago Atitlan,,
Santiago Ayuquililla,,
Santiago Cacaloxtepec,,
Santiago Camotlan,,
Santiago Comaltepec,,
Santiago Chazumba,,
Santiago Choapam,,
Santiago del Rio,,
Santiago Huajolotitlan,,
Santiago Huauclilla,,
Santiago Ihuitlan Plumas,,
Santiago Ixcuintepec,,
Santiago Ixtayutla,,
Santiago Jamiltepec,,
Santiago Jocotepec,,
Santiago Juxtlahuaca,,
Santiago Lachiguiri,,
Santiago Lalopa,,
Santiago Laollaga,,
Santiago Laxopa,,
Santiago Llano Grande,,
Santiago Matatlan,,
Santiago Miltepec,,
Santiago Minas,,
Santiago Nacaltepec,,
Santiago Nejapilla,,
Santiago Nundiche,,
Santiago Nuyoo,,
Santiago Pinotepa Nacional,,
Santiago Suchilquitongo,,
Santiago Tamazola,,
Santiago Tapextla,,
Villa Tejupam de la Union,,
Santiago Tenango,,
Santiago Tepetlapa,,
Santiago Tetepec,,
Santiago Texcalcingo,,
Santiago Textitlan,,
Santiago Tilantongo,,
Santiago Tillo,,
Santiago Tlazoyaltepec,,
Santiago Xanica,,
Santiago Xiacui,,
Santiago Yaitepec,,
Santiago Yaveo,,
Santiago Yolomecatl,,
Santiago Yosondua,,
Santiago Yucuyachi,,
Santiago Zacatepec,,
Santiago Zoochila,,
Nuevo Zoquiapam,,
Santo Domingo Ingenio,,
Santo Domingo Albarradas,,
Santo Domingo Armenta,,
Santo Domingo Chihuitan,,
Santo Domingo de Morelos,,
Santo Domingo Ixcatlan,,
Santo Domingo Nuxaa,,
Santo Domingo Ozolotepec,,
Santo Domingo Petapa,,
Santo Domingo Roayaga,,
Santo Domingo Tehuantepec,,
Santo Domingo Teojomulco,,
Santo Domingo Tepuxtepec,,
Santo Domingo Tlatayapam,,
Santo Domingo Tomaltepec,,
Santo Domingo Tonala,,
Santo Domingo Tonaltepec,,
Santo Domingo Xagacia,,
Santo Domingo Yanhuitlan,,
Santo Domingo Yodohino,,
Santo Domingo Zanatepec,,
Santos Reyes Nopala,,
Santos Reyes Papalo,,
Santos Reyes Tepejillo,,
Santos Reyes Yucuna,,
Santo Tomas Jalieza,,
Santo Tomas Mazaltepec,,
Santo Tomas Ocotepec,,
Santo Tomas Tamazulapan,,
San Vicente Coatlan,,
San Vicente Lachixio,,
San Vicente Nuñu,,
Silacayoapam,,
Sitio de Xitlapehua,,
Soledad Etla,,
Villa de Tamazulapam del Progreso,,
Tanetze de Zaragoza,,
Taniche,,
Tataltepec de Valdes,,
Teococuilco de Marcos Perez,,
Teotitlan de Flores Magon,,
Teotitlan del Valle,,
Teotongo,,
Tepelmeme Villa de Morelos,,
"Heroica Villa Tezoatlan de Segura y Luna, Cuna de la Independencia de Oaxaca",,
San Jeronimo Tlacochahuaya,,
Tlacolula de Matamoros,,
Tlacotepec Plumas,,
Tlalixtac de Cabrera,,
Totontepec Villa de Morelos,,
Trinidad Zaachila,,
La Trinidad Vista Hermosa,,
Union Hidalgo,,
Valerio Trujano,,
San Juan Bautista Valle Nacional,,
Villa Diaz Ordaz,,
Yaxe,,
Magdalena Yodocono de Porfirio Diaz,,
Yogana,,
Yutanduchi de Guerrero,,
Villa de Zaachila,,
San Mateo Yucutindo,,
Zapotitlan Lagunas,,
Zapotitlan Palmas,,
Santa Ines de Zaragoza,,
Zimatlan de alvarez,,
Acajete,,
Acateno,,
Acatlan,,
Acatzingo,,
Acteopan,,
Ahuacatlan,,
Ahuatlan,,
Ahuazotepec,,
Ahuehuetitla,,
Ajalpan,,
Albino Zertuche,,
Aljojuca,,
Altepexi,,
Amixtlan,,
Amozoc,,
Aquixtla,,
Atempan,,
Atexcal,,
Atlixco,,
Atoyatempan,,
Atzala,,
Atzitzihuacan,,
Atzitzintla,,
Axutla,,
Ayotoxco de Guerrero,,
Calpan,,
Caltepec,,
Camocuautla,,
Caxhuacan,,
Coatepec,,
Coatzingo,,
Cohetzala,,
Cohuecan,,
Coronango,,
Coxcatlan,,
Coyomeapan,,
Coyotepec,,
Cuapiaxtla de Madero,,
Cuautempan,,
Cuautinchan,,
Cuautlancingo,,
Cuayuca de Andrade,,
Cuetzalan del Progreso,,
Cuyoaco,,
Chalchicomula de Sesma,,
Chapulco,,
Chiautla,,
Chiautzingo,,
Chiconcuautla,,
Chichiquila,,
Chietla,,
Chigmecatitlan,,
Chignahuapan,,
Chignautla,,
Chila,,
Chila de la Sal,,
Honey,,
Chilchotla,,
Chinantla,,
Domingo Arenas,,
Eloxochitlan,,
Epatlan,,
Esperanza,,
Francisco Z. Mena,,
General Felipe angeles,,
Guadalupe,,
Guadalupe Victoria,,
Hermenegildo Galeana,,
Huaquechula,,
Huatlatlauca,,
Huauchinango,,
Huehuetla,,
Huehuetlan el Chico,,
Huejotzingo,,
Hueyapan,,
Hueytamalco,,
Hueytlalpan,,
Huitzilan de Serdan,,
Huitziltepec,,
Atlequizayan,,
Ixcamilpa de Guerrero,,
Ixcaquixtla,,
Ixtacamaxtitlan,,
Ixtepec,,
Izucar de Matamoros,,
Jalpan,,
Jolalpan,,
Jonotla,,
Jopala,,
Juan C. Bonilla,,
Juan Galindo,,
Juan N. Mendez,,
Lafragua,,
Libres,,
La Magdalena Tlatlauquitepec,,
Mazapiltepec de Juarez,,
Mixtla,,
Molcaxac,,
Cañada Morelos,,
Naupan,,
Nauzontla,,
Nealtican,,
Nicolas Bravo,,
Nopalucan,,
Ocotepec,,
Ocoyucan,,
Olintla,,
Oriental,,
Pahuatlan,,
Palmar de Bravo,,
Pantepec,,
Petlalcingo,,
Piaxtla,,
Puebla,,
Quecholac,,
Quimixtlan,,
Rafael Lara Grajales,,
Los Reyes de Juarez,,
San Andres Cholula,,
San Antonio Cañada,,
San Diego la Mesa Tochimiltzingo,,
San Felipe Teotlalcingo,,
San Felipe Tepatlan,,
San Gabriel Chilac,,
San Gregorio Atzompa,,
San Jeronimo Tecuanipan,,
San Jeronimo Xayacatlan,,
San Jose Chiapa,,
San Jose Miahuatlan,,
San Juan Atenco,,
San Juan Atzompa,,
San Martin Texmelucan,,
San Martin Totoltepec,,
San Matias Tlalancaleca,,
San Miguel Ixitlan,,
San Miguel Xoxtla,,
San Nicolas Buenos Aires,,
San Nicolas de los Ranchos,,
San Pablo Anicano,,
San Pedro Cholula,,
San Pedro Yeloixtlahuaca,,
San Salvador el Seco,,
San Salvador el Verde,,
San Salvador Huixcolotla,,
San Sebastian Tlacotepec,,
Santa Catarina Tlaltempan,,
Santa Ines Ahuatempan,,
Santa Isabel Cholula,,
Santiago Miahuatlan,,
Huehuetlan el Grande,,
Santo Tomas Hueyotlipan,,
Soltepec,,
Tecali de Herrera,,
Tecamachalco,,
Tecomatlan,,
Tehuacan,,
Tehuitzingo,,
Tenampulco,,
Teopantlan,,
Teotlalco,,
Tepanco de Lopez,,
Tepango de Rodriguez,,
Tepatlaxco de Hidalgo,,
Tepeaca,,
Tepemaxalco,,
Tepeojuma,,
Tepetzintla,,
Tepexco,,
Tepexi de Rodriguez,,
Tepeyahualco,,
Tepeyahualco de Cuauhtemoc,,
Tetela de Ocampo,,
Teteles de Avila Castillo,,
Teziutlan,,
Tianguismanalco,,
Tilapa,,
Tlacotepec de Benito Juarez,,
Tlacuilotepec,,
Tlachichuca,,
Tlahuapan,,
Tlaltenango,,
Tlanepantla,,
Tlaola,,
Tlapacoya,,
Tlapanala,,
Tlatlauquitepec,,
Tlaxco,,
Tochimilco,,
Tochtepec,,
Totoltepec de Guerrero,,
Tulcingo,,
Tuzamapan de Galeana,,
Tzicatlacoyan,,
Venustiano Carranza,,
Vicente Guerrero,,
Xayacatlan de Bravo,,
Xicotepec,,
Xicotlan,,
Xiutetelco,,
Xochiapulco,,
Xochiltepec,,
Xochitlan de Vicente Suarez,,
Xochitlan Todos Santos,,
Yaonahuac,,
Yehualtepec,,
Zacapala,,
Zacapoaxtla,,
Zacatlan,,
Zapotitlan,,
Zapotitlan de Mendez,,
Zaragoza,,
Zautla,,
Zihuateutla,,
Zinacatepec,,
Zongozotla,,
Zoquiapan,,
Zoquitlan,,
Amealco de Bonfil,,
Pinal de Amoles,,
Arroyo Seco,,
Cadereyta de Montes,,
Colon,,
Corregidora,,
Ezequiel Montes,,
Huimilpan,,
Jalpan de Serra,,
Landa de Matamoros,,
El Marques,,
Pedro Escobedo,,
Peñamiller,,
Queretaro,,
San Joaquin,,
San Juan del Rio,,
Tequisquiapan,,
Toliman,,
Cozumel,,
Felipe Carrillo Puerto,,
Isla Mujeres,,
Othon P. Blanco,,
Benito Juarez,,
Jose Maria Morelos,,
Lazaro Cardenas,,
Solidaridad,,
Tulum,,
Bacalar,,
Ahualulco,,
Alaquines,,
Aquismon,,
Armadillo de los Infante,,
Cardenas,,
Catorce,,
Cedral,,
Cerritos,,
Cerro de San Pedro,,
Ciudad del Maiz,,
Ciudad Fernandez,,
Tancanhuitz,,
Ciudad Valles,,
Coxcatlan,,
Charcas,,
Ebano,,
Guadalcazar,,
Huehuetlan,,
Lagunillas,,
Matehuala,,
Mexquitic de Carmona,,
Moctezuma,,
Rayon,,
Rioverde,,
Salinas,,
San Antonio,,
San Ciro de Acosta,,
San Luis Potosi,,
San Martin Chalchicuautla,,
San Nicolas Tolentino,,
Santa Catarina,,
Santa Maria del Rio,,
Santo Domingo,,
San Vicente Tancuayalab,,
Soledad de Graciano Sanchez,,
Tamasopo,,
Tamazunchale,,
Tampacan,,
Tampamolon Corona,,
Tamuin,,
Tanlajas,,
Tanquian de Escobedo,,
Tierra Nueva,,
Vanegas,,
Venado,,
Villa de Arriaga,,
Villa de Guadalupe,,
Villa de la Paz,,
Villa de Ramos,,
Villa de Reyes,,
Villa Hidalgo,,
Villa Juarez,,
Axtla de Terrazas,,
Xilitla,,
Zaragoza,,
Villa de Arista,,
Matlapa,,
El Naranjo,,
Ahome,,
Angostura,,
Badiraguato,,
Concordia,,
Cosala,,
Culiacan,,
Choix,,
Elota,,
Escuinapa,,
El Fuerte,,
Guasave,,
Mazatlan,,
Mocorito,,
Rosario,,
Salvador Alvarado,,
San Ignacio,,
Sinaloa,,
Navolato,,
Aconchi,,
Agua Prieta,,
Alamos,,
Altar,,
Arivechi,,
Arizpe,,
Atil,,
Bacadehuachi,,
Bacanora,,
Bacerac,,
Bacoachi,,
Bacum,,
Banamichi,,
Baviacora,,
Bavispe,,
Benjamin Hill,,
Caborca,,
Cajeme,,
Cananea,,
Carbo,,
La Colorada,,
Cucurpe,,
Cumpas,,
Divisaderos,,
Empalme,,
Etchojoa,,
Fronteras,,
Granados,,
Guaymas,,
Hermosillo,,
Huachinera,,
Huasabas,,
Huatabampo,,
Huepac,,
Imuris,,
Magdalena,,
Mazatan,,
Moctezuma,,
Naco,,
Nacori Chico,,
Nacozari de Garcia,,
Navojoa,,
Nogales,,
Onavas,,
Opodepe,,
Oquitoa,,
Pitiquito,,
Puerto Peñasco,,
Quiriego,,
Rayon,,
Rosario,,
Sahuaripa,,
San Felipe de Jesus,,
San Javier,,
San Luis Rio Colorado,,
San Miguel de Horcasitas,,
San Pedro de la Cueva,,
Santa Ana,,
Santa Cruz,,
Saric,,
Soyopa,,
Suaqui Grande,,
Tepache,,
Trincheras,,
Tubutama,,
Ures,,
Villa Hidalgo,,
Villa Pesqueira,,
Yecora,,
General Plutarco Elias Calles,,
Benito Juarez,,
San Ignacio Rio Muerto,,
Balancan,,
Cardenas,,
Centla,,
Centro,,
Comalcalco,,
Cunduacan,,
Emiliano Zapata,,
Huimanguillo,,
Jalapa,,
Jalpa de Mendez,,
Jonuta,,
Macuspana,,
Nacajuca,,
Paraiso,,
Tacotalpa,,
Teapa,,
Tenosique,,
Abasolo,,
Aldama,,
Altamira,,
Antiguo Morelos,,
Burgos,,
Bustamante,,
Camargo,,
Casas,,
Ciudad Madero,,
Cruillas,,
Gomez Farias,,
Gonzalez,,
Güemez,,
Guerrero,,
Gustavo Diaz Ordaz,,
Hidalgo,,
Jaumave,,
Jimenez,,
Llera,,
Mainero,,
El Mante,,
Matamoros,,
Mendez,,
Mier,,
Miguel Aleman,,
Miquihuana,,
Nuevo Laredo,,
Nuevo Morelos,,
Ocampo,,
Padilla,,
Palmillas,,
Reynosa,,
Rio Bravo,,
San Carlos,,
San Fernando,,
San Nicolas,,
Soto la Marina,,
Tampico,,
Tula,,
Valle Hermoso,,
Victoria,,
Villagran,,
Xicotencatl,,
Amaxac de Guerrero,,
Apetatitlan de Antonio Carvajal,,
Atlangatepec,,
Altzayanca,,
Apizaco,,
Calpulalpan,,
El Carmen Tequexquitla,,
Cuapiaxtla,,
Cuaxomulco,,
Chiautempan,,
Muñoz de Domingo Arenas,,
Españita,,
Huamantla,,
Hueyotlipan,,
Ixtacuixtla de Mariano Matamoros,,
Ixtenco,,
Mazatecochco de Jose Maria Morelos,,
Contla de Juan Cuamatzi,,
Tepetitla de Lardizabal,,
Sanctorum de Lazaro Cardenas,,
Nanacamilpa de Mariano Arista,,
Acuamanala de Miguel Hidalgo,,
Nativitas,,
Panotla,,
San Pablo del Monte,,
Santa Cruz Tlaxcala,,
Tenancingo,,
Teolocholco,,
Tepeyanco,,
Terrenate,,
Tetla de la Solidaridad,,
Tetlatlahuca,,
Tlaxcala,,
Tlaxco,,
Tocatlan,,
Totolac,,
Ziltlaltepec de Trinidad Sanchez Santos,,
Tzompantepec,,
Xaloztoc,,
Xaltocan,,
Papalotla de Xicohtencatl,,
Xicohtzinco,,
Yauhquemehcan,,
Zacatelco,,
Benito Juarez,,
Emiliano Zapata,,
Lazaro Cardenas,,
La Magdalena Tlaltelulco,,
San Damian Texoloc,,
San Francisco Tetlanohcan,,
San Jeronimo Zacualpan,,
San Jose Teacalco,,
San Juan Huactzinco,,
San Lorenzo Axocomanitla,,
San Lucas Tecopilco,,
Santa Ana Nopalucan,,
Santa Apolonia Teacalco,,
Santa Catarina Ayometla,,
Santa Cruz Quilehtla,,
Santa Isabel Xiloxoxtla,,
Acajete,,
Acatlan,,
Acayucan,,
Actopan,,
Acula,,
Acultzingo,,
Camaron de Tejeda,,
Alpatlahuac,,
Alto Lucero de Gutierrez Barrios,,
Altotonga,,
Alvarado,,
Amatitlan,,
Naranjos Amatlan,,
Amatlan de los Reyes,,
Angel R. Cabada,,
La Antigua,,
Apazapan,,
Aquila,,
Astacinga,,
Atlahuilco,,
Atoyac,,
Atzacan,,
Atzalan,,
Tlaltetela,,
Ayahualulco,,
Banderilla,,
Benito Juarez,,
Boca del Rio,,
Calcahualco,,
Camerino Z. Mendoza,,
Carrillo Puerto,,
Catemaco,,
Cazones de Herrera,,
Cerro Azul,,
Citlaltepetl,,
Coacoatzintla,,
Coahuitlan,,
Coatepec,,
Coatzacoalcos,,
Coatzintla,,
Coetzala,,
Colipa,,
Comapa,,
Cordoba,,
Cosamaloapan de Carpio,,
Cosautlan de Carvajal,,
Coscomatepec,,
Cosoleacaque,,
Cotaxtla,,
Coxquihui,,
Coyutla,,
Cuichapa,,
Cuitlahuac,,
Chacaltianguis,,
Chalma,,
Chiconamel,,
Chiconquiaco,,
Chicontepec,,
Chinameca,,
Chinampa de Gorostiza,,
Las Choapas,,
Chocaman,,
Chontla,,
Chumatlan,,
Emiliano Zapata,,
Espinal,,
Filomeno Mata,,
Fortin,,
Gutierrez Zamora,,
Hidalgotitlan,,
Huatusco,,
Huayacocotla,,
Hueyapan de Ocampo,,
Huiloapan de Cuauhtemoc,,
Ignacio de la Llave,,
Ilamatlan,,
Isla,,
Ixcatepec,,
Ixhuacan de los Reyes,,
Ixhuatlan del Cafe,,
Ixhuatlancillo,,
Ixhuatlan del Sureste,,
Ixhuatlan de Madero,,
Ixmatlahuacan,,
Ixtaczoquitlan,,
Jalacingo,,
Xalapa,,
Jalcomulco,,
Jaltipan,,
Jamapa,,
Jesus Carranza,,
Xico,,
Jilotepec,,
Juan Rodriguez Clara,,
Juchique de Ferrer,,
Landero y Coss,,
Lerdo de Tejada,,
Magdalena,,
Maltrata,,
Manlio Fabio Altamirano,,
Mariano Escobedo,,
Martinez de la Torre,,
Mecatlan,,
Mecayapan,,
Medellin,,
Miahuatlan,,
Las Minas,,
Minatitlan,,
Misantla,,
Mixtla de Altamirano,,
Moloacan,,
Naolinco,,
Naranjal,,
Nautla,,
Nogales,,
Oluta,,
Omealca,,
Orizaba,,
Otatitlan,,
Oteapan,,
Ozuluama de Mascareñas,,
Pajapan,,
Panuco,,
Papantla,,
Paso del Macho,,
Paso de Ovejas,,
La Perla,,
Perote,,
Platon Sanchez,,
Playa Vicente,,
Poza Rica de Hidalgo,,
Las Vigas de Ramirez,,
Pueblo Viejo,,
Puente Nacional,,
Rafael Delgado,,
Rafael Lucio,,
Los Reyes,,
Rio Blanco,,
Saltabarranca,,
San Andres Tenejapan,,
San Andres Tuxtla,,
San Juan Evangelista,,
Santiago Tuxtla,,
Sayula de Aleman,,
Soconusco,,
Sochiapa,,
Soledad Atzompa,,
Soledad de Doblado,,
Soteapan,,
Tamalin,,
Tamiahua,,
Tampico Alto,,
Tancoco,,
Tantima,,
Tantoyuca,,
Tatatila,,
Castillo de Teayo,,
Tecolutla,,
Tehuipango,,
alamo Temapache,,
Tempoal,,
Tenampa,,
Tenochtitlan,,
Teocelo,,
Tepatlaxco,,
Tepetlan,,
Tepetzintla,,
Tequila,,
Jose Azueta,,
Texcatepec,,
Texhuacan,,
Texistepec,,
Tezonapa,,
Tierra Blanca,,
Tihuatlan,,
Tlacojalpan,,
Tlacolulan,,
Tlacotalpan,,
Tlacotepec de Mejia,,
Tlachichilco,,
Tlalixcoyan,,
Tlalnelhuayocan,,
Tlapacoyan,,
Tlaquilpa,,
Tlilapan,,
